# Países;Fecha;Super 95;Super 95 (Sin imp.);Diesel;Diesel (Sin imp.);Diesel Cal.;Diesel Cal. (Sin imp.)
España;17/05/2010;1,182€;0,582€;1,095€;0,604€;0,714€;0,530€
España;10/05/2010;1,189€;0,589€;1,103€;0,610€;0,715€;0,531€
España;03/05/2010;1,190€;0,589€;1,100€;0,608€;0,712€;0,527€
España;26/04/2010;1,176€;0,577€;1,081€;0,592€;0,702€;0,519€
España;19/04/2010;1,178€;0,579€;1,078€;0,589€;0,700€;0,517€
España;12/04/2010;1,185€;0,585€;1,087€;0,597€;0,698€;0,516€
España;29/03/2010;1,169€;0,571€;1,053€;0,567€;0,668€;0,490€
España;22/03/2010;1,159€;0,562€;1,045€;0,560€;0,664€;0,487€
España;15/03/2010;1,156€;0,560€;1,037€;0,553€;0,660€;0,483€
España;08/03/2010;1,136€;0,542€;1,024€;0,542€;0,649€;0,474€
España;01/03/2010;1,119€;0,529€;1,010€;0,530€;0,641€;0,466€
España;22/02/2010;1,108€;0,519€;1,005€;0,526€;0,621€;0,449€
España;15/02/2010;1,099€;0,511€;0,988€;0,511€;0,614€;0,444€
España;08/02/2010;1,105€;0,516€;0,994€;0,517€;0,619€;0,448€
España;01/02/2010;1,095€;0,508€;0,987€;0,511€;0,620€;0,448€
España;25/01/2010;1,100€;0,512€;0,996€;0,518€;0,629€;0,455€
España;18/01/2010;1,104€;0,515€;1,001€;0,523€;0,633€;0,460€
España;11/01/2010;1,109€;0,519€;1,009€;0,529€;0,637€;0,464€
España;04/01/2010;1,090€;0,503€;0,988€;0,511€;0,608€;0,438€
España;19/12/2011;1,296€;0,656€;1,285€;0,743€;0,897€;0,674€
España;12/12/2011;1,294€;0,654€;1,297€;0,753€;0,907€;0,683€
España;05/12/2011;1,284€;0,646€;1,297€;0,753€;0,910€;0,685€
España;28/11/2011;1,286€;0,647€;1,299€;0,755€;0,910€;0,685€
España;21/11/2011;1,295€;0,655€;1,323€;0,775€;0,914€;0,688€
España;14/11/2011;1,310€;0,667€;1,316€;0,769€;0,900€;0,676€
España;07/11/2011;1,306€;0,664€;1,295€;0,752€;0,881€;0,661€
España;31/10/2011;1,314€;0,671€;1,296€;0,753€;0,878€;0,658€
España;24/10/2011;1,315€;0,671€;1,292€;0,749€;0,870€;0,652€
España;17/10/2011;1,330€;0,685€;1,279€;0,738€;0,861€;0,644€
España;10/10/2011;1,316€;0,673€;1,269€;0,729€;0,854€;0,638€
